x,y,distance,angle,is_header,is_volley,is_big_chance,is_penalty,is_free_kick,defenders_in_cone,gk_set,centrality,goal,dist_angle,match_id,competition
96.5,40.7,23.51,0.3369,0,0,0,0,0,5,1,0.982,0,7.921,3857276,WC 2022
83.9,45.0,36.445,0.2166,0,0,0,0,0,1,1,0.875,1,7.895,3857276,WC 2022
86.8,38.4,33.239,0.2393,0,0,0,0,1,6,1,0.96,0,7.953,3857276,WC 2022
107.0,48.3,15.424,0.4383,0,1,0,0,0,5,1,0.793,0,6.76,3857276,WC 2022
113.3,34.9,8.42,0.7734,0,1,1,0,0,0,1,0.872,0,6.512,3857276,WC 2022
97.5,54.0,26.5,0.2565,0,0,0,0,0,4,1,0.65,0,6.798,3857276,WC 2022
107.6,53.2,18.111,0.3078,0,1,0,0,0,0,1,0.67,1,5.575,3857276,WC 2022
107.9,34.2,13.418,0.5331,0,0,0,0,0,4,1,0.855,0,7.153,3857276,WC 2022
106.8,46.7,14.803,0.4794,0,1,0,0,0,4,1,0.832,0,7.097,3857276,WC 2022
105.1,41.2,14.948,0.5215,0,1,0,0,0,2,1,0.97,0,7.796,3857276,WC 2022
112.2,37.7,8.132,0.894,1,0,1,0,0,4,1,0.943,0,7.27,3857276,WC 2022
118.8,41.6,2.0,2.4669,1,0,1,0,0,1,1,0.96,0,4.934,3857276,WC 2022
115.4,29.4,11.555,0.3035,0,1,0,0,0,1,1,0.735,0,3.507,3857271,WC 2022
101.1,55.3,24.317,0.257,0,0,0,0,0,3,1,0.618,0,6.25,3857271,WC 2022
113.4,49.1,11.241,0.4462,0,0,1,0,0,0,1,0.772,0,5.016,3857271,WC 2022
110.5,40.7,9.526,0.7938,1,0,1,0,0,6,1,0.982,0,7.561,3857271,WC 2022
112.0,38.0,8.246,0.8885,1,0,1,0,0,2,1,0.95,1,7.327,3857271,WC 2022
104.1,38.5,15.971,0.489,0,1,0,0,0,6,1,0.963,1,7.809,3857271,WC 2022
111.0,42.8,9.425,0.7796,0,1,1,0,0,0,1,0.93,1,7.348,3857271,WC 2022
106.4,48.8,16.199,0.4158,0,1,0,0,0,2,1,0.78,0,6.736,3857271,WC 2022
